cond,topText,topColour,bottomText,congruent,match,corrAns,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trigger_txt.started,trigger_resp.started,trigger_resp.keys,trigger_resp.rt,trigger_resp.duration,instr_txt.started,prepared_resp.started,prep_instr.started,prep_instr.stopped,start_indicator.started,start_indicator.stopped,use_rows,top_txt.started,bottom_txt.started,key_resp.started,top_txt.stopped,bottom_txt.stopped,key_resp.stopped,key_resp.keys,key_resp.corr,trial_fixation.started,trial_fixation.stopped,key_resp.rt,key_resp.duration,rest_txt.started,rest_txt.stopped,end_txt.started,end_key_resp.started,end_key_resp.keys,end_key_resp.rt,end_key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
1,紅,red,紅,1,1,1,0,0,0,0,0,11,11,2,,,,,,,,,,,,21,50.865977699984796,50.96573439997155,50.96573439997155,52.86052289995132,52.86052289995132,52.86052289995132,1,1,,,0.6615746000315994,None,,,,,,,,Liu_Teng_ZB216,001,2024-02-27_15h37.26.589,stroop-master,2023.1.3,60.15424752654399,
,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.86052289995132,82.81555799994385,,,,,,Liu_Teng_ZB216,001,2024-02-27_15h37.26.589,stroop-master,2023.1.3,60.15424752654399,
3,綠,green,藍,1,0,2,1,0,1,0,0,0,0,2,,,,,,,,82.81555799994385,84.80991829995764,84.80991829995764,85.3239912999561,27,85.3239912999561,85.4085197999957,85.4085197999957,87.30347799998708,87.30347799998708,87.30347799998708,2,1,87.30347799998708,87.80200509994756,0.9054915001033805,None,,,,,,,,Liu_Teng_ZB216,001,2024-02-27_15h37.26.589,stroop-master,2023.1.3,60.15424752654399,
3,紅,red,綠,1,0,2,1,0,1,0,0,1,1,7,,,,,,,,,,,,3,87.80200509994756,87.9019201999763,87.9019201999763,89.7970022999798,89.7970022999798,89.7970022999798,2,1,89.7970022999798,90.29565929999808,0.8042113000410609,None,,,,,,,,Liu_Teng_ZB216,001,2024-02-27_15h37.26.589,stroop-master,2023.1.3,60.15424752654399,
1,藍,blue,藍,1,1,1,1,0,1,0,0,2,2,5,,,,,,,,,,,,26,90.29565929999808,90.39549049997004,90.39549049997004,92.2902357999701,92.2902357999701,92.2902357999701,1,1,92.2902357999701,92.78905029996531,0.5971397000248544,None,,,,,,,,Liu_Teng_ZB216,001,2024-02-27_15h37.26.589,stroop-master,2023.1.3,60.15424752654399,
1,綠,green,綠,1,1,1,1,0,1,0,0,3,3,3,,,,,,,,,,,,3,92.78905029996531,92.88868009997532,92.88868009997532,94.78393859998323,94.78393859998323,94.78393859998323,1,1,94.78393859998323,95.28255569998873,0.547533800068777,None,,,,,,,,Liu_Teng_ZB216,001,2024-02-27_15h37.26.589,stroop-master,2023.1.3,60.15424752654399,
1,綠,green,綠,1,1,1,1,0,1,0,0,4,4,11,,,,,,,,,,,,16,95.28255569998873,95.38213619997259,95.38213619997259,97.27722399996128,97.27722399996128,97.27722399996128,1,1,97.27722399996128,97.77584039996145,0.5607402000459842,None,,,,,,,,Liu_Teng_ZB216,001,2024-02-27_15h37.26.589,stroop-master,2023.1.3,60.15424752654399,
3,綠,green,黃,1,0,2,1,0,1,0,0,5,5,10,,,,,,,,,,,,1,97.77584039996145,97.87571909994585,97.87571909994585,99.77076169999782,99.77076169999782,99.77076169999782,2,1,99.77076169999782,100.26935749995755,0.6394595000892878,None,,,,,,,,Liu_Teng_ZB216,001,2024-02-27_15h37.26.589,stroop-master,2023.1.3,60.15424752654399,
3,紅,red,藍,1,0,2,1,0,1,0,0,6,6,4,,,,,,,,,,,,22,100.26935749995755,100.36921919998713,100.36921919998713,102.26428259996464,102.26428259996464,102.26428259996464,2,1,102.26428259996464,102.76307549997,0.7165668000816368,None,,,,,,,,Liu_Teng_ZB216,001,2024-02-27_15h37.26.589,stroop-master,2023.1.3,60.15424752654399,
3,綠,green,黃,1,0,2,1,0,1,0,0,7,7,0,,,,,,,,,,,,18,102.76307549997,102.86279209994245,102.86279209994245,104.75771149998764,104.75771149998764,104.75771149998764,2,1,104.75771149998764,105.25643369997852,0.7955439000506885,None,,,,,,,,Liu_Teng_ZB216,001,2024-02-27_15h37.26.589,stroop-master,2023.1.3,60.15424752654399,
1,紅,red,紅,1,1,1,1,0,1,0,0,8,8,9,,,,,,,,,,,,2,105.25643369997852,105.35615269996924,105.35615269996924,107.25112609995995,107.25112609995995,107.25112609995995,1,1,107.25112609995995,107.74968829995487,0.4771543000242673,None,,,,,,,,Liu_Teng_ZB216,001,2024-02-27_15h37.26.589,stroop-master,2023.1.3,60.15424752654399,
1,綠,green,綠,1,1,1,1,0,1,0,0,9,9,1,,,,,,,,,,,,0,107.74968829995487,107.84961049997946,107.84961049997946,109.74453089997405,109.74453089997405,109.74453089997405,1,1,109.74453089997405,110.24339179997332,0.6879891000571661,None,,,,,,,,Liu_Teng_ZB216,001,2024-02-27_15h37.26.589,stroop-master,2023.1.3,60.15424752654399,
1,黃,yellow,黃,1,1,1,1,0,1,0,0,10,10,8,,,,,,,,,,,,27,110.24339179997332,110.34321009996347,110.34321009996347,112.23799659998622,112.23799659998622,112.23799659998622,1,1,112.23799659998622,112.73673779994715,0.5737103000283241,None,,,,,,,,Liu_Teng_ZB216,001,2024-02-27_15h37.26.589,stroop-master,2023.1.3,60.15424752654399,
3,黃,yellow,紅,1,0,2,1,0,1,0,0,11,11,6,,,,,,,,,,,,3,112.73673779994715,112.83643869997468,112.83643869997468,114.73167639999883,114.73167639999883,114.73167639999883,2,1,,,0.7000047000474297,None,,,,,,,,Liu_Teng_ZB216,001,2024-02-27_15h37.26.589,stroop-master,2023.1.3,60.15424752654399,
