Run,Block,Weight,Stimulus,TargetType,CorrectResponse,StimType,BlockType,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trigger_txt.started,trigger_txt.stopped,trigger_resp.keys,trigger_resp.rt,trigger_resp.started,trigger_resp.stopped,instr_txt.started,instr_txt.stopped,prepared_resp.keys,prepared_resp.rt,prepared_resp.started,prepared_resp.stopped,prep_instr.started,prep_instr.stopped,target.started,target.stopped,corr_var,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,trial_fixation.started,trial_fixation.stopped,prep_instr_2.started,prep_instr_2.stopped,target_2.started,target_2.stopped,rest_txt.started,rest_txt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
4,3,1,TO_040_TOOL40_BA.png,nonlure,nontarget,Tools,0-Back,1,0,1,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,1,102.17026299999998,None,2,0.9262295000007725,102.17026299999998,None,104.1706237999988,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,3,1,TO_039_TOOL39_BA.png,nonlure,nontarget,Tools,0-Back,1,0,1,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,0,104.69167689999995,None,None,,104.69167689999995,None,106.68655789999866,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,3,1,TO_041_TOOL41_BA.png,nonlure,nontarget,Tools,0-Back,1,0,1,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,1,107.2868684999994,None,2,0.8056032000004052,107.2868684999994,None,109.28516169999966,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,3,1,TO_040_TOOL40_BA.png,lure,nontarget,Tools,0-Back,1,0,1,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,1,109.79011939999873,None,2,0.4610959000001458,109.79011939999873,None,111.78380819999984,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,3,1,TO_041_TOOL41_BA.png,lure,nontarget,Tools,0-Back,1,0,1,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,1,112.29875179999908,None,2,0.5597416999989946,112.29875179999908,None,114.29904530000022,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,3,1,TO_038_TOOL38_BA.png,lure,nontarget,Tools,0-Back,1,0,1,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,1,114.80093979999947,None,2,0.4832092999986344,114.80093979999947,None,None,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,4,1,PL_043_LEXINGTON19.png,nonlure,nontarget,Place,2-Back,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1,119.85803029999988,None,2,0.7365977999997995,119.85803029999988,None,121.86154059999899,None,117.00033429999894,None,117.00033429999894,None,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,4,1,PL_043_LEXINGTON19.png,lure,nontarget,Place,2-Back,1,0,1,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,0,122.36572559999877,None,1,0.6249127000010049,122.36572559999877,None,124.3600819000003,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,4,1,PL_044_SCENE01.png,nonlure,nontarget,Place,2-Back,1,0,1,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,1,125.28622679999899,None,2,0.38633690000096976,125.28622679999899,None,127.29161319999912,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,4,1,PL_044_SCENE01.png,lure,nontarget,Place,2-Back,1,0,1,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,1,127.79739189999964,None,2,0.5306514999992942,127.79739189999964,None,129.7903212000001,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,4,1,PL_042_LEXINGTON18.png,nonlure,nontarget,Place,2-Back,1,0,1,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,1,130.32289719999972,None,2,0.6226267000001826,130.32289719999972,None,132.3222614999995,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,4,1,PL_040_LEXINGTON16.png,nonlure,nontarget,Place,2-Back,1,0,1,0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,1,132.84443660000034,None,2,1.0270440000003873,132.84443660000034,None,134.8376320999996,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,4,1,PL_041_LEXINGTON17.png,nonlure,nontarget,Place,2-Back,1,0,1,0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,1,135.45585609999944,None,2,0.7993537999991531,135.45585609999944,None,137.45283449999988,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,4,1,PL_039_LEXINGTON06.png,nonlure,nontarget,Place,2-Back,1,0,1,0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,1,138.08754989999943,None,2,0.5605687999996007,138.08754989999943,None,140.0846719000001,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,4,1,PL_041_LEXINGTON17.png,target,target,Place,2-Back,1,0,1,0,,,,,0,8,8,8,,,,,,,,,,,,,,,,,0,140.59100269999908,None,2,0.5631972999999562,140.59100269999908,None,142.59994860000006,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
