Run,Block,Weight,Stimulus,TargetType,CorrectResponse,StimType,BlockType,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trigger_txt.started,trigger_txt.stopped,trigger_resp.keys,trigger_resp.rt,trigger_resp.started,trigger_resp.stopped,instr_txt.started,instr_txt.stopped,prepared_resp.keys,prepared_resp.rt,prepared_resp.started,prepared_resp.stopped,prep_instr.started,prep_instr.stopped,target.started,target.stopped,corr_var,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,trial_fixation.started,trial_fixation.stopped,(iti duration),(stim duration),(rest duration),prep_instr_2.started,prep_instr_2.stopped,target_2.started,target_2.stopped,rest_txt.started,rest_txt.stopped,participant,session,date,expName,psychopyVersion,frameRate
5,5,1,FC_054_F27.png,lure,nontarget,Face,0-Back,2,0,2,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,0,230.6969711,None,None,,230.6969711,None,232.7021612,None,0.5426896,2.0051901,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
5,5,1,FC_052_F26.png,nonlure,nontarget,Face,0-Back,2,0,2,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,0,233.2448508,None,None,,233.2448508,None,235.2507332,None,0.5228234,2.0058824,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
5,5,1,FC_050_F25.png,lure,nontarget,Face,0-Back,2,0,2,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,0,235.7735566,None,None,,235.7735566,None,None,None,#VALUE!,#VALUE!,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
5,6,1,TO_055_TOOL55_BA.png,nonlure,nontarget,Tools,2-Back,2,0,2,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,240.7076181,None,None,,240.7076181,None,242.7133231,None,0.5261714,2.005705,,237.8147953,None,237.8147953,None,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
5,6,1,TO_056_TOOL56_BA.png,nonlure,nontarget,Tools,2-Back,2,0,2,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,0,243.2394945,None,None,,243.2394945,None,245.2452467,None,0.5018449,2.0057522,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
5,6,1,TO_055_TOOL55_BA.png,target,target,Tools,2-Back,2,0,2,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,0,245.7470916,None,None,,245.7470916,None,247.7442906,None,0.52199,1.997199,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
5,6,1,TO_057_TOOL57_BA.png,nonlure,nontarget,Tools,2-Back,2,0,2,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,248.2662806,None,None,,248.2662806,None,250.2590594,None,0.5202236,1.9927788,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
5,6,1,TO_059_TOOL59_BA.png,nonlure,nontarget,Tools,2-Back,2,0,2,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,0,250.779283,None,None,,250.779283,None,252.7743707,None,0.5034542,1.9950877,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
5,6,1,TO_057_TOOL57_BA.png,target,target,Tools,2-Back,2,0,2,0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,0,253.2778249,None,None,,253.2778249,None,255.27292,None,0.5054829,1.9950951,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
5,6,1,TO_058_TOOL58_BA.png,nonlure,nontarget,Tools,2-Back,2,0,2,0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,0,255.7784029,None,None,,255.7784029,None,257.7715236,None,0.5078943,1.9931207,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
5,6,1,TO_060_TOOL60_BA.png,nonlure,nontarget,Tools,2-Back,2,0,2,0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,0,258.2794179,None,None,,258.2794179,None,260.2868955,None,0.503037,2.0074776,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
5,6,1,TO_059_TOOL59_BA.png,lure,nontarget,Tools,2-Back,2,0,2,0,,,,,0,8,8,8,,,,,,,,,,,,,,,,,0,260.7899325,None,None,,260.7899325,None,262.7854287,None,0.5023318,1.9954962,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
5,6,1,TO_058_TOOL58_BA.png,lure,nontarget,Tools,2-Back,2,0,2,0,,,,,0,9,9,9,,,,,,,,,,,,,,,,,0,263.2877605,None,None,,263.2877605,None,None,None,#VALUE!,#VALUE!,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,265.2840292,None,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.4237071,None,280.4237071,None,,,,,,,,,,0,0,,,,,,,,,,,,,
