Run,Block,Weight,Stimulus,TargetType,CorrectResponse,StimType,BlockType,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trigger_txt.started,trigger_txt.stopped,trigger_resp.keys,trigger_resp.rt,trigger_resp.started,trigger_resp.stopped,instr_txt.started,instr_txt.stopped,prepared_resp.keys,prepared_resp.rt,prepared_resp.started,prepared_resp.stopped,prep_instr.started,prep_instr.stopped,target.started,target.stopped,corr_var,stim_trial_fixation.started,stim_trial_fixation.stopped,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,prep_instr_2.started,prep_instr_2.stopped,target_2.started,target_2.stopped,rest_txt.started,rest_txt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,3,1,TO_004_TOOL4_BA.png,nonlure,nontarget,Tools,2-Back,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,0,104.78637350000281,105.29480580000018,105.29480580000018,104.78637350000281,None,,105.29480580000018,104.78637350000281,,,,,,,Jocelyn_personal,001,2024_Feb_19_2112,nback-master,2021.1.4,59.97638130099012,
1,3,1,TO_002_TOOL2_BA.png,target,target,Tools,2-Back,1,0,1,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,0,107.30033540000295,107.79314599999998,107.79314599999998,107.30033540000295,None,,107.79314599999998,107.30033540000295,,,,,,,Jocelyn_personal,001,2024_Feb_19_2112,nback-master,2021.1.4,59.97638130099012,
1,3,1,TO_001_TOOL1_BA.png,lure,nontarget,Tools,2-Back,1,0,1,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,0,109.7964776000008,110.29184280000118,110.29184280000118,109.7964776000008,None,,110.29184280000118,109.7964776000008,,,,,,,Jocelyn_personal,001,2024_Feb_19_2112,nback-master,2021.1.4,59.97638130099012,
1,3,1,TO_004_TOOL4_BA.png,lure,nontarget,Tools,2-Back,1,0,1,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,0,112.29940260000149,112.80688420000297,112.80688420000297,112.29940260000149,None,,112.80688420000297,112.29940260000149,,,,,,,Jocelyn_personal,001,2024_Feb_19_2112,nback-master,2021.1.4,59.97638130099012,
1,3,1,TO_006_TOOL6_BA.png,nonlure,nontarget,Tools,2-Back,1,0,1,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,0,114.83099870000297,115.33902070000113,115.33902070000113,114.83099870000297,None,,115.33902070000113,114.83099870000297,,,,,,,Jocelyn_personal,001,2024_Feb_19_2112,nback-master,2021.1.4,59.97638130099012,
1,3,1,TO_005_TOOL5_BA.png,nonlure,nontarget,Tools,2-Back,1,0,1,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,0,117.39673250000124,117.90435050000087,117.90435050000087,117.39673250000124,None,,117.90435050000087,117.39673250000124,,,,,,,Jocelyn_personal,001,2024_Feb_19_2112,nback-master,2021.1.4,59.97638130099012,
1,3,1,TO_006_TOOL6_BA.png,target,target,Tools,2-Back,1,0,1,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,0,119.90861550000045,120.40286980000019,120.40286980000019,119.90861550000045,None,,120.40286980000019,119.90861550000045,,,,,,,Jocelyn_personal,001,2024_Feb_19_2112,nback-master,2021.1.4,59.97638130099012,
1,3,1,TO_003_TOOL3_BA.png,nonlure,nontarget,Tools,2-Back,1,0,1,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,0,122.44267110000146,122.93447350000133,122.93447350000133,122.44267110000146,None,,122.93447350000133,122.44267110000146,,,,,,,Jocelyn_personal,001,2024_Feb_19_2112,nback-master,2021.1.4,59.97638130099012,
1,4,1,BP_007_BP20_BA.png,target,target,Body,0-Back,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,127.75951540000096,128.26516000000265,128.26516000000265,None,None,,128.26516000000265,None,124.97750350000206,None,124.97750350000206,None,,,Jocelyn_personal,001,2024_Feb_19_2112,nback-master,2021.1.4,59.97638130099012,
1,4,1,BP_011_BP4_BA.png,nonlure,nontarget,Body,0-Back,1,0,1,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,0,130.33347360000334,130.8304222000006,130.8304222000006,130.33347360000334,None,,130.8304222000006,130.33347360000334,,,,,,,Jocelyn_personal,001,2024_Feb_19_2112,nback-master,2021.1.4,59.97638130099012,
