Run,Block,Weight,Stimulus,TargetType,CorrectResponse,StimType,BlockType,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trigger_txt.started,trigger_txt.stopped,trigger_resp.keys,trigger_resp.rt,trigger_resp.started,trigger_resp.stopped,instr_txt.started,instr_txt.stopped,prepared_resp.keys,prepared_resp.rt,prepared_resp.started,prepared_resp.stopped,prep_instr.started,prep_instr.stopped,target.started,target.stopped,corr_var,stim_trial_fixation.started,stim_trial_fixation.stopped,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,(iti duration),(stim duration),(rest duration),prep_instr_2.started,prep_instr_2.stopped,target_2.started,target_2.stopped,rest_txt.started,rest_txt.stopped,end_txt.started,end_txt.stopped,end_key_resp.keys,end_key_resp.rt,end_key_resp.started,end_key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate
4,3,1,TO_042_TOOL42_BA.png,nonlure,nontarget,Tools,0-Back,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,0,100.1736391,100.6716436,100.6716436,100.1736391,None,,100.6716436,100.1736391,0.4980045,2.0251593,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
4,3,1,TO_038_TOOL38_BA.png,nonlure,nontarget,Tools,0-Back,1,0,1,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,0,102.6968029,103.2037367,103.2037367,102.6968029,None,,103.2037367,102.6968029,0.5069338,2.0269455,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
4,3,1,TO_040_TOOL40_BA.png,nonlure,nontarget,Tools,0-Back,1,0,1,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,0,105.2306822,105.7354252,105.7354252,105.2306822,None,,105.7354252,105.2306822,0.504743,2.0247185,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
4,3,1,TO_039_TOOL39_BA.png,nonlure,nontarget,Tools,0-Back,1,0,1,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,0,107.7601437,108.2675366,108.2675366,107.7601437,None,,108.2675366,107.7601437,0.5073929,2.0210138,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
4,3,1,TO_041_TOOL41_BA.png,nonlure,nontarget,Tools,0-Back,1,0,1,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,0,110.2885504,110.782729,110.782729,110.2885504,None,,110.782729,110.2885504,0.4941786,2.0073603,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
4,3,1,TO_040_TOOL40_BA.png,lure,nontarget,Tools,0-Back,1,0,1,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,0,112.7900893,113.2979672,113.2979672,112.7900893,None,,113.2979672,112.7900893,0.5078779,2.0034971,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
4,3,1,TO_041_TOOL41_BA.png,lure,nontarget,Tools,0-Back,1,0,1,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,0,115.3014643,115.7966277,115.7966277,115.3014643,None,,115.7966277,115.3014643,0.4951634,2.005873,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
4,3,1,TO_038_TOOL38_BA.png,lure,nontarget,Tools,0-Back,1,0,1,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,0,117.8025007,118.295189,118.295189,117.8025007,None,,118.295189,117.8025007,0.4926883,2.4441709,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
4,4,1,PL_043_LEXINGTON19.png,nonlure,nontarget,Place,2-Back,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,123.6844569,124.1918954,124.1918954,None,None,,124.1918954,None,0.5074385,2.0086942,,120.7393599,None,120.7393599,None,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
4,4,1,PL_043_LEXINGTON19.png,lure,nontarget,Place,2-Back,1,0,1,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,0,126.2005896,126.7071566,126.7071566,126.2005896,None,,126.7071566,126.2005896,0.506567,2.0474815,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
4,4,1,PL_044_SCENE01.png,nonlure,nontarget,Place,2-Back,1,0,1,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,0,128.7546381,129.255658,129.255658,128.7546381,None,,129.255658,128.7546381,0.5010199,2.0116862,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
4,4,1,PL_044_SCENE01.png,lure,nontarget,Place,2-Back,1,0,1,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,131.2673442,131.770888,131.770888,131.2673442,None,,131.770888,131.2673442,0.5035438,2.0275929,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
4,4,1,PL_042_LEXINGTON18.png,nonlure,nontarget,Place,2-Back,1,0,1,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,0,133.7984809,134.3026981,134.3026981,133.7984809,None,,134.3026981,133.7984809,0.5042172,2.0267752,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
