Run,Block,Weight,Stimulus,TargetType,CorrectResponse,StimType,BlockType,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trigger_txt.started,trigger_resp.started,trigger_resp.keys,trigger_resp.rt,trigger_resp.duration,instr_txt.started,prepared_resp.started,prepared_resp.keys,prepared_resp.rt,prepared_resp.duration,prep_instr.started,target.started,prep_instr.stopped,target.stopped,stim_trial_fixation.started,stim_trial_fixation.stopped,image.started,key_resp.started,image.stopped,key_resp.stopped,corr_var,key_resp.keys,key_resp.rt,key_resp.duration,prep_instr_2.started,target_2.started,prep_instr_2.stopped,target_2.stopped,rest_txt.started,rest_txt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
4,3,1,TO_042_TOOL42_BA.png,nonlure,nontarget,Tools,0-Back,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,100.795443699928,101.2940972999204,101.2940972999204,101.2940972999204,103.60970530007035,103.60970530007035,1,2,1.940639000153169,None,,,,,,,Jocelyn_ZB216,001,2024-02-20_14h35.12.699,nback-master,2023.1.3,60.12506018151383,
4,3,1,TO_038_TOOL38_BA.png,nonlure,nontarget,Tools,0-Back,1,0,1,0,0,3,3,3,,,,,,,,,,,,,,,,,,,103.60970530007035,104.08676839992404,104.08676839992404,104.08676839992404,106.08514279988594,106.08514279988594,1,2,1.8585715999361128,None,,,,,,,Jocelyn_ZB216,001,2024-02-20_14h35.12.699,nback-master,2023.1.3,60.12506018151383,
4,3,1,TO_040_TOOL40_BA.png,nonlure,nontarget,Tools,0-Back,1,0,1,0,0,4,4,4,,,,,,,,,,,,,,,,,,,106.08514279988594,106.58009509998374,106.58009509998374,106.58009509998374,108.57507640006952,108.57507640006952,1,2,1.8993376998696476,None,,,,,,,Jocelyn_ZB216,001,2024-02-20_14h35.12.699,nback-master,2023.1.3,60.12506018151383,
4,3,1,TO_039_TOOL39_BA.png,nonlure,nontarget,Tools,0-Back,1,0,1,0,0,5,5,5,,,,,,,,,,,,,,,,,,,108.57507640006952,109.0736541999504,109.0736541999504,109.0736541999504,111.06834060000256,111.06834060000256,1,2,1.6669284999370575,None,,,,,,,Jocelyn_ZB216,001,2024-02-20_14h35.12.699,nback-master,2023.1.3,60.12506018151383,
4,3,1,TO_041_TOOL41_BA.png,nonlure,nontarget,Tools,0-Back,1,0,1,0,0,6,6,6,,,,,,,,,,,,,,,,,,,111.06834060000256,111.56700140004978,111.56700140004978,111.56700140004978,113.56147599988617,113.56147599988617,0,1,1.7641895001288503,None,,,,,,,Jocelyn_ZB216,001,2024-02-20_14h35.12.699,nback-master,2023.1.3,60.12506018151383,
4,3,1,TO_040_TOOL40_BA.png,lure,nontarget,Tools,0-Back,1,0,1,0,0,7,7,7,,,,,,,,,,,,,,,,,,,113.56147599988617,114.06045180000365,114.06045180000365,114.06045180000365,116.05503559997305,116.05503559997305,1,2,1.7635427999775857,None,,,,,,,Jocelyn_ZB216,001,2024-02-20_14h35.12.699,nback-master,2023.1.3,60.12506018151383,
4,3,1,TO_041_TOOL41_BA.png,lure,nontarget,Tools,0-Back,1,0,1,0,0,8,8,8,,,,,,,,,,,,,,,,,,,116.05503559997305,116.55383690004237,116.55383690004237,116.55383690004237,118.54819329991005,118.54819329991005,0,1,1.737562300171703,None,,,,,,,Jocelyn_ZB216,001,2024-02-20_14h35.12.699,nback-master,2023.1.3,60.12506018151383,
4,3,1,TO_038_TOOL38_BA.png,lure,nontarget,Tools,0-Back,1,0,1,0,0,9,9,9,,,,,,,,,,,,,,,,,,,118.54819329991005,119.04744350002147,119.04744350002147,119.04744350002147,121.46096729999408,121.46096729999408,1,2,1.7972583998925984,None,,,,,,,Jocelyn_ZB216,001,2024-02-20_14h35.12.699,nback-master,2023.1.3,60.12506018151383,
4,4,1,PL_043_LEXINGTON19.png,nonlure,nontarget,Place,2-Back,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,124.0950408000499,124.56619619997218,124.56619619997218,124.56619619997218,126.56112900003791,126.56112900003791,0,1,1.741603899979964,None,121.46096729999408,121.46096729999408,124.0950408000499,124.0950408000499,,,Jocelyn_ZB216,001,2024-02-20_14h35.12.699,nback-master,2023.1.3,60.12506018151383,
4,4,1,PL_043_LEXINGTON19.png,lure,nontarget,Place,2-Back,1,0,1,0,,,,,0,1,1,1,,,,,,,,,,,,,,,126.56112900003791,127.05958779994398,127.05958779994398,127.05958779994398,129.07644309988245,129.07644309988245,0,1,1.8028034998569638,None,,,,,,,Jocelyn_ZB216,001,2024-02-20_14h35.12.699,nback-master,2023.1.3,60.12506018151383,
