run,block,block_type,stim_type,stimulus,target,corr_ans,stim_onset,stim_offset,stim_duration,iti_onset,iti_offset,iti_duration,key_resp,key_resp_rt,corr_var,instr_onset,instr_offset,instr_duration,rest_onset,rest_offset,rest_duration
4,3,0-Back,Tools,TO_040_TOOL40_BA.png,nontarget,2,207.7704959000112,210.2634196999716,2.49292379996038,207.2717575000133,207.7704959000112,0.4987383999979045,1.0,0.6515773999853991,0,None,None,None,None,None,None
4,3,0-Back,Tools,TO_039_TOOL39_BA.png,nontarget,2,210.7625476999674,213.25597569998357,2.4934280000161664,210.2634196999716,210.7625476999674,0.4991279999958067,2.0,0.7220174000249244,1,None,None,None,None,None,None
4,3,0-Back,Tools,TO_041_TOOL41_BA.png,nontarget,2,213.7549793999642,216.2480823000078,2.4931029000435956,213.25597569998357,213.7549793999642,0.49900369998064775,1.0,0.8542342000291683,0,None,None,None,None,None,None
4,3,0-Back,Tools,TO_040_TOOL40_BA.png,nontarget,2,216.7469591000117,219.24049549998017,2.4935363999684625,216.2480823000078,216.7469591000117,0.4988768000038988,2.0,0.5141056000138633,1,None,None,None,None,None,None
4,3,0-Back,Tools,TO_041_TOOL41_BA.png,nontarget,2,219.7392790999729,222.23251030000392,2.4932312000310333,219.24049549998017,219.7392790999729,0.49878359999271993,2.0,0.7161757000139914,1,None,None,None,None,None,None
4,3,0-Back,Tools,TO_038_TOOL38_BA.png,nontarget,2,222.73152239999035,225.28058829996732,2.5490658999769664,222.23251030000392,222.73152239999035,0.49901209998643026,2.0,0.684287799987942,1,None,None,None,None,None,None
4,4,2-Back,Place,PL_043_LEXINGTON19.png,nontarget,2,308.1399737999891,310.63312329998007,2.4931494999909773,307.641878800001,308.1399737999891,0.4980949999880977,2.0,1.7086053999955766,1,305.1788768999977,307.641878800001,2.4630019000032917,None,None,None
4,4,2-Back,Place,PL_043_LEXINGTON19.png,nontarget,2,311.13199789996725,313.62520810001297,2.4932102000457235,310.63312329998007,311.13199789996725,0.4988745999871753,2.0,1.4148160999757238,1,None,None,None,None,None,None
4,4,2-Back,Place,PL_044_SCENE01.png,nontarget,2,314.1241862999741,316.6174676999799,2.493281400005799,313.62520810001297,314.1241862999741,0.4989781999611296,2.0,0.5887497999938205,1,None,None,None,None,None,None
4,4,2-Back,Place,PL_044_SCENE01.png,nontarget,2,317.11629269999685,319.6096184999915,2.4933257999946363,316.6174676999799,317.11629269999685,0.49882500001695007,2.0,0.6314921000157483,1,None,None,None,None,None,None
4,4,2-Back,Place,PL_042_LEXINGTON18.png,nontarget,2,320.1083504999988,322.60179009998683,2.4934395999880508,319.6096184999915,320.1083504999988,0.4987320000072941,1.0,0.7386511000222526,0,None,None,None,None,None,None
