cond,Hour,Minute,bottomText,match,corrAns,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trigger_txt.started,trigger_resp.started,trigger_resp.keys,trigger_resp.rt,trigger_resp.duration,instr_txt.started,prepared_resp.started,prepared_resp.keys,prepared_resp.rt,prepared_resp.duration,prep_instr.started,prep_instr.stopped,start_indicator.started,start_indicator.stopped,use_rows,clock_digital.started,direction_txt.started,key_resp.started,clock_digital.stopped,direction_txt.stopped,key_resp.stopped,corr_var,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trial_fixation.started,trial_fixation.stopped,rest_txt.started,rest_txt.stopped,end_txt.started,end_key_resp.started,end_key_resp.keys,end_key_resp.rt,end_key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.48442280001473,145.43885929998942,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
1,16,48,左上,1,1,2,0,2,0,0,0,0,0,,,,,,,,,,,145.43885929998942,147.43365439999616,147.43365439999616,147.93690019997302,44,147.93690019997302,148.03226439998252,148.03226439998252,150.42583979998017,150.42583979998017,150.42583979998017,0,2,0,1.795427999983076,None,150.42583979998017,150.92484120000154,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
2,17,44,左上,0,2,2,0,2,0,0,1,1,8,,,,,,,,,,,,,,,78,150.92484120000154,151.024618299969,151.024618299969,153.41835649998393,153.41835649998393,153.41835649998393,1,2,1,1.786732500011567,None,153.41835649998393,153.91656079998938,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
2,13,21,右上,0,2,2,0,2,0,0,2,2,7,,,,,,,,,,,,,,,62,153.91656079998938,154.016732899996,154.016732899996,156.4100587000139,156.4100587000139,156.4100587000139,0,None,0,,,156.4100587000139,156.90896059997613,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
1,9,13,右上,1,1,2,0,2,0,0,3,3,4,,,,,,,,,,,,,,,36,156.90896059997613,157.00899339996977,157.00899339996977,159.4025082999724,159.4025082999724,159.4025082999724,1,1,1,1.1453405999927782,None,159.4025082999724,159.90120780002326,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
2,11,41,右下,0,2,2,0,2,0,0,4,4,1,,,,,,,,,,,,,,,7,159.90120780002326,160.00103959999979,160.00103959999979,162.3945751999854,162.3945751999854,162.3945751999854,0,1,0,1.2467495999881066,None,162.3945751999854,162.8930321999942,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
2,15,22,左上,0,2,2,0,2,0,0,5,5,2,,,,,,,,,,,,,,,54,162.8930321999942,162.9932417999953,162.9932417999953,165.3868277000147,165.3868277000147,165.3868277000147,1,2,1,1.5970800999784842,None,165.3868277000147,165.88546760001918,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
1,9,14,右上,1,1,2,0,2,0,0,6,6,6,,,,,,,,,,,,,,,31,165.88546760001918,165.98522590001812,165.98522590001812,168.37891540001146,168.37891540001146,168.37891540001146,1,1,1,1.8755344000528567,None,168.37891540001146,168.87770040001487,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
2,11,40,右下,0,2,2,0,2,0,0,7,7,5,,,,,,,,,,,,,,,82,168.87770040001487,168.97730199998477,168.97730199998477,171.37107079999987,171.37107079999987,171.37107079999987,1,2,1,2.1977973000030033,None,171.37107079999987,171.86939850001363,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
1,10,36,左下,1,1,2,0,2,0,0,8,8,3,,,,,,,,,,,,,,,67,171.86939850001363,171.9695289999945,171.9695289999945,174.36297590000322,174.36297590000322,174.36297590000322,0,None,0,,,174.36297590000322,174.86191089998465,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
1,8,56,左上,1,1,2,0,2,0,0,9,9,9,,,,,,,,,,,,,,,26,174.86191089998465,174.96180719998665,174.96180719998665,177.35573070001556,177.35573070001556,177.35573070001556,1,1,1,1.4993060000124387,None,,,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.35573070001556,207.30956249998417,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
2,15,41,右下,0,2,3,0,3,0,0,0,0,7,,,,,,,,,,,207.30956249998417,209.30465479998384,209.30465479998384,209.80784099997254,34,209.80784099997254,209.9029229999869,209.9029229999869,212.29674740001792,212.29674740001792,212.29674740001792,1,2,1,1.8510807999991812,None,212.29674740001792,212.79554969997844,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
1,9,17,右下,1,1,3,0,3,0,0,1,1,9,,,,,,,,,,,,,,,24,212.79554969997844,212.89562859997386,212.89562859997386,215.2887783999904,215.2887783999904,215.2887783999904,1,1,1,1.2647645000251941,None,215.2887783999904,215.78785800002515,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
2,13,13,左下,0,2,3,0,3,0,0,2,2,3,,,,,,,,,,,,,,,50,215.78785800002515,215.88772970001446,215.88772970001446,218.2810882999911,218.2810882999911,218.2810882999911,1,2,1,1.5407229000120424,None,218.2810882999911,218.7799965000013,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
2,19,54,右下,0,2,3,0,3,0,0,3,3,8,,,,,,,,,,,,,,,81,218.7799965000013,218.87971000000834,218.87971000000834,221.27362779999385,221.27362779999385,221.27362779999385,1,2,1,1.6624508999520913,None,221.27362779999385,221.7722621000139,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
1,9,16,右下,1,1,3,0,3,0,0,4,4,4,,,,,,,,,,,,,,,6,221.7722621000139,221.8716362999985,221.8716362999985,224.26594700000715,224.26594700000715,224.26594700000715,1,1,1,1.737390799971763,None,224.26594700000715,224.76423739996972,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
1,16,6,右上,1,1,3,0,3,0,0,5,5,6,,,,,,,,,,,,,,,79,224.76423739996972,224.8637873000116,224.8637873000116,227.25780329998815,227.25780329998815,227.25780329998815,1,1,1,1.7805714999558404,None,227.25780329998815,227.756447999971,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
1,10,17,右下,1,1,3,0,3,0,0,6,6,0,,,,,,,,,,,,,,,41,227.756447999971,227.85592920001363,227.85592920001363,230.2494555999874,230.2494555999874,230.2494555999874,1,1,1,1.6738230000482872,None,230.2494555999874,230.74840149999363,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
2,11,50,右下,0,2,3,0,3,0,0,7,7,5,,,,,,,,,,,,,,,87,230.74840149999363,230.84806960000424,230.84806960000424,233.24213249998866,233.24213249998866,233.24213249998866,1,2,1,1.8823928000056185,None,233.24213249998866,233.74041359999683,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
1,7,26,右下,1,1,3,0,3,0,0,8,8,1,,,,,,,,,,,,,,,71,233.74041359999683,233.84019700001227,233.84019700001227,236.23383589996956,236.23383589996956,236.23383589996956,0,None,0,,,236.23383589996956,236.73279899999034,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
2,10,48,左下,0,2,3,0,3,0,0,9,9,2,,,,,,,,,,,,,,,30,236.73279899999034,236.83278990001418,236.83278990001418,239.22634140000446,239.22634140000446,239.22634140000446,0,1,0,1.6680322000174783,None,,,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.22634140000446,269.1812336000148,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
2,11,38,左上,0,2,4,0,4,0,0,0,0,0,,,,,,,,,,,269.1812336000148,271.1759568999987,271.1759568999987,271.6792654999881,56,271.6792654999881,271.7743533999892,271.7743533999892,274.16792209999403,274.16792209999403,274.16792209999403,0,1,0,1.734970899997279,None,274.16792209999403,274.6666840999969,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
