cond,Hour,Minute,bottomText,match,corrAns,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trigger_txt.started,trigger_resp.started,trigger_resp.keys,trigger_resp.rt,trigger_resp.duration,instr_txt.started,prepared_resp.started,prepared_resp.keys,prepared_resp.rt,prepared_resp.duration,prep_instr.started,use_rows,clock_digital.started,direction_txt.started,key_resp.started,corr_var,key_resp.keys,key_resp.corr,trial_fixation.started,(iti duration),(stim duration),direction_txt.stopped,key_resp.stopped,key_resp.rt,key_resp.duration,rest_txt.started,end_txt.started,end_key_resp.started,end_key_resp.keys,end_key_resp.rt,end_key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
1,9,16,右下,1,1,2,0,2,0,0,6,6,7,,,,,,,,,,,,41,178.9592475,179.0421598,179.0421598,0,2,0,178.4588674,0.5003801,2.5030904,,,1.4782005,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
2,11,50,右下,0,2,2,0,2,0,0,7,7,2,,,,,,,,,,,,6,181.9461139,182.0293329,182.0293329,1,2,1,181.4453774,0.5007365,2.4861299,184.4323857,184.4323857,1.5541562,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
2,15,23,左上,0,2,2,0,2,0,0,8,8,3,,,,,,,,,,,,7,184.9530033,185.0329921,185.0329921,0,1,0,184.4490269,0.5039764,2.502913,187.4355602,187.4355602,1.4472916,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
2,13,56,右下,0,2,2,0,2,0,0,9,9,1,,,,,,,,,,,,69,187.9529615,188.0364247,188.0364247,1,2,1,187.4523017,0.5006598,2.4992984,190.4390949,190.4390949,1.4113723,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,0,-187.9529615,,,,,190.4559067,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
2,10,37,右上,0,2,3,0,3,0,0,0,0,4,,,,,,,,,,,220.4570401,8,222.9603353,223.0268601,223.0268601,1,2,1,222.4799499,0.4803854,222.4799499,225.4293814,225.4293814,1.2529235,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
2,11,39,左上,0,2,3,0,3,0,0,1,1,9,,,,,,,,,,,,19,225.9486669,226.0299473,226.0299473,0,1,0,225.4461177,0.5025492,2.4857824,228.4328949,228.4328949,1.1380717,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
2,17,45,左上,0,2,3,0,3,0,0,2,2,5,,,,,,,,,,,,21,228.9502625,229.0335867,229.0335867,0,1,0,228.4497541,0.5005084,2.5010872,231.4363967,231.4363967,1.0858161,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
1,7,26,右下,1,1,3,0,3,0,0,3,3,8,,,,,,,,,,,,72,231.9558552,232.0369944,232.0369944,1,1,1,231.4530262,0.502829,2.5027637,234.4397885,234.4397885,1.874453,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
1,9,48,左下,1,1,3,0,3,0,0,4,4,0,,,,,,,,,,,,49,234.9572165,235.04053,235.04053,1,1,1,234.4565669,0.5006496,2.5007117,237.4434454,237.4434454,1.3429704,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
